Subject,u,bin_resp,rts
6,0,1,6.87391644947684
6,0,0,6.27913305696707
6,0,1,6.9565275382292
6,0,1,6.74527317233522
6,0,0,6.18068992592
6,0,0,6.27915480702572
6,0,1,6.95652353814944
6,1,0,6.62005440635358
6,1,0,6.62007533986068
6,1,0,6.50225392021739
6,1,0,6.1457466468714
6,0,1,6.27930048272258
6,0,0,6.0322801416085
6,0,0,6.8024434288071
6,1,1,6.70521415758573
6,0,0,7.06194532946311
6,1,0,7.3020509741252
6,0,1,6.36887494293172
6,1,1,6.87392058714024
6,1,0,7.03286730298213
6,1,0,6.57471719888965
6,1,1,6.14569072408496
6,1,1,6.52701449027893
6,0,0,6.72545684192052
6,1,0,6.30997027687398
6,1,1,6.52703058720008
6,0,1,6.50233401991315
6,0,0,6.8565277719043
6,1,1,6.2146684965979
6,0,1,6.39702915026517
6,0,0,6.24756016614717
6,0,0,6.89102775071798
6,0,1,6.80233909510734
6,0,0,6.07149748550364
6,1,1,7.01814411143882
6,0,0,6.82072244721691
6,1,0,6.47698036285787
6,0,0,6.68462460258554
6,0,1,7.01814187272169
6,0,0,6.90779777807887
6,0,0,7.11747991806414
6,1,1,6.50227042067816
6,0,1,6.78368447920331
6,0,0,6.18084219271835
6,0,0,7.0181156345832
6,0,1,6.5023314700214
6,0,1,6.57473101127834
6,0,0,6.27919718078136
6,0,0,6.7452131727457
6,0,1,6.94063274312614
6,1,1,6.78363908112373
6,1,0,6.52704770818487
6,0,0,6.64207746075369
6,1,1,6.70519003443922
6,1,1,6.78376825080043
6,0,0,6.76468066576751
6,1,1,6.6634797621931
6,0,0,6.14574321874388
6,0,1,6.76470951074797
6,1,1,7.17017384966752
6,0,0,6.52708590009979
6,1,0,6.45103534942987
6,1,1,6.24741405014708
6,0,1,6.24741037278044
6,0,0,6.03227318153913
6,1,0,6.70535851694611
6,0,0,6.70525505539873
6,1,1,6.80249564712405
6,0,1,6.39701465160443
6,1,0,6.59758680513297
6,0,0,7.06192981566822
6,0,0,6.68460710265635
6,0,1,6.70525946344535
6,0,1,6.74532775707118
6,0,0,6.72549020059258
6,0,0,6.66363461343134
6,0,0,6.24747578918098
6,0,0,6.42442532743116
6,0,1,6.07153163909792
6,0,0,6.14572864907421
6,0,0,6.10928624868446
6,1,0,6.36873643514304
6,0,1,6.89099276984042
6,0,0,6.78371538494766
6,0,0,6.52703468455737
6,0,0,6.14570979389292
6,0,0,5.90460297707949
6,1,0,5.80922178721014
6,0,1,7.13090603027068
6,0,0,6.83871126332932
6,1,0,5.99148029698474
6,1,0,6.68456122639272
6,0,0,6.83881551322763
6,0,0,6.47703082272038
6,0,0,6.14570615137317
6,1,0,5.9916510297194
6,1,1,7.01810999284583
6,1,0,6.83879108565523
6,1,0,7.30204187299494
6,0,1,6.72548480088333
6,1,1,6.92424526868474
6,1,1,6.33994722589043
6,0,1,6.10934757776379
6,0,1,6.68463622736814
